Company,TypeName,Inches,RamGB,OpSys,WeightKG,Price,GHz,CpuBrand,CpuVersion,MainMemory,SecondMemory,MainMemoryType,SecondMemoryType,TouchScreen,Resolution,PanelType,GpuBrand,GpuVersion
Apple,Ultrabook,13.3,8,macOS,1.37,856.5441984,2.3,Intel, Core i5 ,128.0,0.0,SSD,None,0,2560x1600,IPSPanelRetinaDisplay,Intel, Iris Plus Graphics 640
Apple,Ultrabook,13.3,8,macOS,1.34,574.7462784,1.8,Intel, Core i5 ,128.0,0.0,FlashStorage,None,0,1440x900,Without,Intel, HD Graphics 6000
HP,Notebook,15.6,8,No OS,1.86,367.632,2.5,Intel, Core i5 7200U ,256.0,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Apple,Ultrabook,15.4,16,macOS,1.83,1622.3440320000002,2.7,Intel, Core i7 ,512.0,0.0,SSD,None,0,2880x1800,IPSPanelRetinaDisplay,AMD, Radeon Pro 455
Apple,Ultrabook,13.3,8,macOS,1.37,1153.1496960000002,3.1,Intel, Core i5 ,256.0,0.0,SSD,None,0,2560x1600,IPSPanelRetinaDisplay,Intel, Iris Plus Graphics 650
Acer,Notebook,15.6,4,Windows 10,2.1,255.744,3.0,AMD, A9-Series 9420 ,500.0,0.0,HDD,None,0,1366x768,Without,AMD, Radeon R5
Apple,Ultrabook,15.4,16,Mac OS X,2.04,1368.2112192,2.2,Intel, Core i7 ,256.0,0.0,FlashStorage,None,0,2880x1800,IPSPanelRetinaDisplay,Intel, Iris Pro Graphics
Apple,Ultrabook,13.3,8,macOS,1.34,740.8264320000001,1.8,Intel, Core i5 ,256.0,0.0,FlashStorage,None,0,1440x900,Without,Intel, HD Graphics 6000
Asus,Ultrabook,14.0,16,Windows 10,1.3,955.8432000000001,1.8,Intel, Core i7 8550U ,512.0,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce MX150
Acer,Ultrabook,14.0,8,Windows 10,1.6,492.30719999999997,1.6,Intel, Core i5 8250U ,256.0,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
HP,Notebook,15.6,4,No OS,1.86,251.84390399999998,2.5,Intel, Core i5 7200U ,500.0,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 620
HP,Notebook,15.6,4,No OS,1.86,220.57280640000002,2.0,Intel, Core i3 6006U ,500.0,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 520
Apple,Ultrabook,15.4,16,macOS,1.83,1560.0192192,2.8,Intel, Core i7 ,256.0,0.0,SSD,None,0,2880x1800,IPSPanelRetinaDisplay,AMD, Radeon Pro 555
Dell,Notebook,15.6,4,Windows 10,2.2,318.976704,2.0,Intel, Core i3 6006U ,256.0,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon R5 M430
Apple,Ultrabook,12.0,8,macOS,0.92,807.1280640000001,1.2,Intel, Core M m3 ,256.0,0.0,SSD,None,0,2304x1440,IPSPanelRetinaDisplay,Intel, HD Graphics 615
Apple,Ultrabook,13.3,8,macOS,1.37,970.900128,2.3,Intel, Core i5 ,256.0,0.0,SSD,None,0,2560x1600,IPSPanelRetinaDisplay,Intel, Iris Plus Graphics 640
Dell,Notebook,15.6,8,Windows 10,2.2,476.3232,2.7,Intel, Core i7 7500U ,256.0,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon R5 M430
Apple,Ultrabook,15.4,16,macOS,1.83,1827.29088,2.9,Intel, Core i7 ,512.0,0.0,SSD,None,0,2880x1800,IPSPanelRetinaDisplay,AMD, Radeon Pro 560
Lenovo,Notebook,15.6,8,No OS,2.2,319.04064,2.4,Intel, Core i3 7100U ,1000.0,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce 940MX
